,full_rho,t,x,y,z,vx,vy,vz,ax,ay,az
0,0.09999999999999998,0.0,-0.6,-0.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0
1,0.09999999999999998,0.75,-0.6,-0.6,0.1,0.0,0.0,0.0,0.12445283751459531,-0.021003647379003895,0.019763611349482325
2,0.09999999999999998,1.5,-0.56499763944902,-0.6059072758253449,0.10555851569204192,0.09333962813594647,-0.015752735534252923,0.014822708512111744,0.0592146665672854,-0.004031386565055696,0.009493620110103998
3,0.09999999999999998,2.25,-0.4783387933750112,-0.6188556549474564,0.11934562773209247,0.13775062806141053,-0.018776275458044698,0.021942923594689745,0.027284745564073558,0.010673219306048675,0.004563790182659181
4,0.09999999999999998,3.0,-0.36735198763905763,-0.6299360186111638,0.13708638641698273,0.1582141872344657,-0.010771360978508188,0.025365766231684135,0.010702493940653052,0.031381511036805435,0.0022010922329601407
5,0.09999999999999998,3.75,-0.24568127079239968,-0.6291884893659434,0.15672976828126586,0.16624105768995548,0.012764772299095893,0.027016585406404243,0.0001403951588499245,0.06974190272576525,0.0010765086643011888
6,0.09999999999999998,4.5,-0.12096099138650641,-0.6,0.17729497539790376,0.16634635405909293,0.06507119934341983,0.027823966904630133,-0.010342731346100146,0.07056998658157056,0.0005574612193116543
7,0.09999999999999998,5.25,0.0008898809667226143,-0.5313487917663684,0.19831973654430776,0.15858930554951783,0.11799868927959774,0.028242062819113876,-0.026643644233231567,0.03433155977311184,0.0003519857101849243
8,0.09999999999999998,6.0,0.11233833518826461,-0.4331940236204823,0.21960027963963266,0.1386065723745942,0.14374735910943162,0.028506052101752572,-0.05793160700155571,0.01740463533702854,0.0003445021630372222
9,0.09999999999999998,6.75,0.20000000000002272,-0.3204884505998693,0.24107670994930136,0.09515786712342743,0.15680083561220304,0.02876442872403049,-0.0580816474879693,0.010267818278023883,0.000530801082597955
10,0.09999999999999998,7.5,0.25503293698660195,-0.20000000000002283,0.2627993192968049,0.05159663150745047,0.16450169932072098,0.029162529535978962,-0.02717816346608006,0.004225464490617758,0.0010156756111200376
11,0.09999999999999998,8.25,0.2860865521423547,-0.07543531362149586,0.2849568752144166,0.031213008907890426,0.16767079768868431,0.02992428624431899,-0.011562396393860835,-0.004121250030605703,0.002071867670897152
12,0.09999999999999998,9.0,0.30624438483749916,0.04915868307390969,0.30798280268009576,0.0225412116124948,0.16457986016573004,0.03147818699749185,-0.0024504772931883325,-0.01478616769404491,0.004293485295553906
13,0.09999999999999998,9.75,0.32246109680816104,0.1684349685342571,0.33279898566758914,0.02070335364260355,0.15349023439519635,0.034698300969157284,0.005283048330065735,-0.03376830468538439,0.008930188398959725
14,0.09999999999999998,10.5,0.3394744693829447,0.27405530863789,0.3613343268816645,0.02466563989015285,0.12816400588115803,0.041395942268377076,0.015988288638981777,-0.0717451130622526,0.0185901224767804
15,0.09999999999999998,11.25,0.36247040548027293,0.35,0.3976097555295418,0.03665685636938918,0.0743551710844686,0.055338534125962374,0.03568694130732507,-0.020502678447471653,0.03870700044779003
16,0.09999999999999998,12.0,0.4,0.4,0.44999999999995455,0.06342206234988298,0.05897816224886485,0.08436878446180492,0.03104494758206955,0.03646356513057411,0.03259828142188537
17,0.09999999999999998,12.75,0.4562979382698693,0.4544889993796226,0.5224448549962134,0.08670577303643515,0.08632583609679548,0.10881749552821894,-0.0005488140072410982,0.001621260595369026,-0.0031721890530049795
18,0.09999999999999998,13.5,0.5211729141076591,0.5196893559946667,0.6031657984712201,0.0862941625310043,0.08754178154332225,0.10643835373846522,-0.03245128347562482,-0.032309084854941,-0.04072701587021063
19,0.09999999999999998,14.25,0.5767666125283929,0.5762587620367063,0.6715400905615723,0.06195569992428567,0.0633099679021165,0.07589309183580727,-0.08260759989904755,-0.08441329053615533,-0.1011907891144097
