,full_rho,t,x,y,z,vx,vy,vz,ax,ay,az
0,0.20000000000002274,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0
1,0.20000000000002274,0.5,0.2,0.2,0.2,0.0,0.0,0.0,0.3888843022715236,-7.275957614183426e-12,-0.0346887828150412
2,0.20000000000002274,1.0,0.24861053778394046,0.19999999999909052,0.19566390214811985,0.1944421511357618,-3.638644940906488e-12,-0.0173443914075206,0.22371395204653297,0.0,-0.0014679554676027586
3,0.20000000000002274,1.5,0.37379585735763793,0.19999999999909268,0.18680821201090922,0.3062991271590283,0.0,-0.018078369141321982,0.11447208983317547,0.0,0.03138588301293499
4,0.20000000000002274,2.0,0.5412544321662991,0.19999999999909424,0.1816922628168651,0.36353517207561603,0.0,-0.002385427634854488,0.033848250078112006,0.0,0.07208619224670648
5,0.20000000000002274,2.5,0.7272530494638711,0.19999999999909557,0.18951032303027615,0.380459297114672,0.0,0.03365766848849875,-0.03831352715742355,0.0,0.1308080495421546
6,0.20000000000002274,3.0,0.9126935071265292,0.20000000000002194,0.22269016346729487,0.36130253353596026,0.0,0.09906169325957605,-0.12005368618231498,0.0,0.2222319192231414
7,0.20000000000002274,3.5,1.0783380631217199,0.20000000000002244,0.29999999999997556,0.3012756904448029,0.0,0.21017765287114676,-0.23180726675278504,0.0,0.2229223557039242
8,0.20000000000002274,4.0,1.2000000000000233,0.20000000000002238,0.43295412089853946,0.18537205706841048,0.0,0.3216388307231085,-0.2368524056703557,0.0,0.13305196810469913
9,0.20000000000002274,4.5,1.2630794778254342,0.20000000000002244,0.6104050322731812,0.06694585423323256,0.0,0.38816481477545806,-0.13645038766441964,0.0,0.07644457253164884
10,0.20000000000002274,5.0,1.279496106483998,0.20000000000002272,0.8140430112273662,-0.0012793395989772942,0.0,0.4263871010412824,-0.07016096657458848,0.0,0.038948320091510745
11,0.20000000000002274,5.5,1.2700863158626858,0.20000000000002283,1.0321051017594463,-0.03635982288627152,0.0,0.4458612610870379,-0.02141178712840446,0.0,0.011189147674250284
12,0.20000000000002274,6.0,1.2492299310284996,0.20000000000002247,1.2564343757622471,-0.04706571645047375,0.0,0.45145583492416297,0.021984445535678448,0.0,-0.013772737824447618
13,0.20000000000002274,6.5,1.2284451284952227,0.20000000000002105,1.4804407009962726,-0.036073493682634544,0.0,0.4445694660119392,0.07087678958368096,0.0,-0.04217780777925733
14,0.20000000000002274,7.0,1.2192679803518656,0.20000000000002283,1.6974532080298348,-0.0006350988907940832,0.0,0.42348056212231056,0.13748833102760366,0.0,-0.08112732967888146
15,0.20000000000002274,7.5,1.2361364722849189,0.20000000000002238,1.8990525728811298,0.06810906662300775,0.0,0.3829168972828698,0.23847195522842735,0.0,-0.1403586839982259
16,0.20000000000002274,8.0,1.299999999999976,0.2000000000000206,2.0729661860227866,0.18734504423722137,0.0,0.3127375552837569,0.238485422877834,0.0,-0.23467970931712684
17,0.20000000000002274,8.5,1.4234831999783162,0.2000000000000206,2.200000000000024,0.3065877556761384,0.0,0.19539770062519352,0.13753210088817536,0.0,-0.22846821871741224
18,0.20000000000002274,9.0,1.5939685904274072,0.2000000000000206,2.269140322972944,0.37535380612022606,0.0,0.08116359126648737,0.07096180412056059,0.0,-0.12017133954915352
19,0.20000000000002274,9.5,1.7905157190025904,0.2000000000000206,2.294700701162544,0.4108347081805063,0.0,0.021077921491910595,0.022131958383085938,0.0,-0.04191729526818321
20,0.20000000000002274,10.0,1.9986995678907293,0.20000000000002238,2.2999999999999763,0.4219006873720493,0.0,0.00011927385781898584,-0.021164897758617438,0.0,-0.04205320375899183
21,0.20000000000002274,10.5,2.2070042993569268,0.2000000000000206,2.2948029864590116,0.41131823849274046,0.0,-0.020907328021676917,-0.06975297833997504,0.0,-0.12061304214428147
22,0.20000000000002274,11.0,2.4039442963108,0.2000000000000206,2.269272692180138,0.376441749322753,0.0,-0.08121384909381768,-0.13577930350632625,0.0,-0.22932614106564142
23,0.20000000000002274,11.5,2.575192758033886,0.2000000000000206,2.200000000000024,0.30855209756958984,0.0,-0.1958769196266384,-0.2357504545492594,0.0,-0.235542861692374
24,0.20000000000002274,12.0,2.7000000000000233,0.2000000000000206,2.0726186824751585,0.19067687029496008,0.0,-0.31364835047282397,-0.23602656545069206,0.0,-0.14081738418116035
25,0.20000000000002274,12.5,2.765835114466167,0.20000000000002238,1.8981923342161013,0.07266358756961405,0.0,-0.38405704256340417,-0.13667666393598268,0.0,-0.08129625271523666
26,0.20000000000002274,13.0,2.7850823252589754,0.20000000000002238,1.6960017813449948,0.004325255601622735,0.0,-0.4247051689210225,-0.07149592840526901,0.0,-0.04209918442812222
27,0.20000000000002274,13.5,2.778307962009128,0.2000000000000206,1.4783867988309682,-0.031422708601011776,0.0,-0.4457547611350836,-0.02418917497587262,0.0,-0.013426912248038266
28,0.20000000000002274,14.0,2.759572960836638,0.2000000000000206,1.2538310542324216,-0.0435172960889481,0.0,-0.4524682172591028,0.017070284709555607,0.0,0.01188863187003615
29,0.20000000000002274,14.5,2.7399480983808586,0.2000000000000206,1.0290830245866247,-0.0349821537341703,0.0,-0.4465239013240847,0.06259731557237276,0.0,0.040176333955619474
30,0.20000000000002274,15.0,2.7302816859603203,0.2000000000000206,0.8108431156690349,-0.003683495947983955,0.0,-0.42643573434627496,0.12377367532828307,0.0,0.0785081195301077
31,0.20000000000002274,15.5,2.743911647402364,0.2000000000000206,0.6074387634371609,0.05820334171615757,0.0,-0.3871816745812211,0.21589345391626422,0.0,0.1364669349871228
